codusu,nro_hogar,ch04,ch06,ch07,ch08,nivel_ed,estado,cat_inac,ipcf
145792  ,1.0,2,15.0,5,1,3,3,3,400.0
145792  ,1.0,1,13.0,5,1,3,3,3,400.0
146077  ,1.0,2,42.0,3,2,6,1,0.0,71.66666666666667
146077  ,1.0,2,17.0,5,2,3,3,7,71.66666666666667
146077  ,1.0,1,13.0,5,2,3,3,3,71.66666666666667
146190  ,1.0,1,69.0,4,2,6,1,0.0,2800.0
146440  ,2.0,1,17.0,5,1,5,3,3,450.0
146520  ,1.0,1,29.0,2,1,6,1,0.0,327.5
146520  ,1.0,2,29.0,2,1,6,1,0.0,327.5
146520  ,1.0,2,3.0,5,1,7,4,5,327.5
146520  ,1.0,2,1.0,5,1,7,4,5,327.5
146589  ,2.0,1,31.0,2,1,6,1,0.0,1000.0
146589  ,2.0,2,32.0,2,1,5,3,4,1000.0
146589  ,2.0,2,2.0,5,1,7,4,5,1000.0
146724  ,1.0,1,30.0,1,1,2,1,0.0,350.0
146724  ,1.0,2,29.0,1,1,4,1,0.0,350.0
146724  ,1.0,1,4.0,5,1,7,4,5,350.0
146906  ,1.0,2,76.0,4,1,2,3,1,660.0
147092  ,1.0,1,28.0,2,4,3,1,0.0,104.0
147092  ,1.0,2,36.0,2,4,4,2,0.0,104.0
147092  ,1.0,1,2.0,5,4,7,4,5,104.0
147092  ,1.0,1,7.0,5,4,1,4,3,104.0
147092  ,1.0,1,62.0,4,4,2,3,7,104.0
147705  ,1.0,1,77.0,2,2,4,3,1,1440.0
147705  ,1.0,2,64.0,2,2,4,3,7,1440.0
147705  ,2.0,2,26.0,5,4,4,1,0.0,500.0
148151  ,1.0,1,39.0,2,1,6,1,0.0,678.0
148151  ,1.0,2,40.0,2,1,4,3,4,678.0
148151  ,1.0,2,13.0,5,1,3,3,3,678.0
148151  ,1.0,1,11.0,5,1,1,3,3,678.0
148151  ,1.0,1,7.0,5,1,1,4,3,678.0
148222  ,1.0,1,37.0,1,1,5,1,0.0,533.3333333333334
148222  ,1.0,2,43.0,1,1,6,1,0.0,533.3333333333334
148222  ,1.0,2,1.0,5,1,7,4,5,533.3333333333334
148363  ,1.0,2,58.0,3,2,6,1,0.0,255.0
148402  ,1.0,1,63.0,2,12,5,1,0.0,550.0
148402  ,1.0,2,67.0,2,2,2,3,4,550.0
148455  ,1.0,1,26.0,1,1,6,1,0.0,600.0
148455  ,1.0,2,24.0,1,1,4,1,0.0,600.0
148455  ,1.0,2,4.0,5,1,7,4,5,600.0
149014  ,1.0,1,52.0,5,1,6,1,0.0,2100.0
149021  ,1.0,2,48.0,2,1,2,1,0.0,151.0
149021  ,1.0,1,37.0,5,4,2,2,0.0,151.0
149078  ,1.0,1,73.0,2,1,3,3,1,241.0
149078  ,1.0,2,76.0,2,1,2,3,4,241.0
149156  ,1.0,1,74.0,2,1,4,3,1,525.0
149156  ,1.0,2,69.0,2,1,4,3,1,525.0
149366  ,1.0,1,67.0,2,1,5,3,4,75.0
149366  ,1.0,2,64.0,2,1,2,3,4,75.0
149811  ,1.0,1,24.0,1,1,6,1,0.0,550.0
149811  ,1.0,2,22.0,1,1,5,1,0.0,550.0
150202  ,1.0,1,45.0,1,1,3,1,0.0,250.0
150202  ,1.0,2,29.0,1,1,2,3,4,250.0
150202  ,1.0,2,5.0,5,1,7,4,5,250.0
150202  ,1.0,1,2.0,5,1,7,4,5,250.0
150251  ,1.0,1,66.0,2,1,4,3,1,1050.0
